h,ሀ
hu,ሁ
hi,ሂ
ha,ሃ
hy,ሄ
he,ህ
ho,ሆ
hW,ኋ
l,ለ
lu,ሉ
li,ሊ
la,ላ
ly,ሌ
le,ል
lo,ሎ
lW,ሏ
H,ሐ
Hu,ሑ
Hi,ሒ
Ha,ሓ
Hy,ሔ
He,ሕ
Ho,ሖ
m,መ
mu,ሙ
mi,ሚ
ma,ማ
my,ሜ
me,ም
mo,ሞ
mW,ሟ
s[,ሠ
s[u,ሡ
s[i,ሢ
s[a,ሣ
s[y,ሤ
s[e,ሥ
s[o,ሦ
s[W,ሧ
r,ረ
ru,ሩ
ri,ሪ
ra,ራ
ry,ሬ
re,ር
ro,ሮ
rW,ሯ
s,ሰ
su,ሱ
si,ሲ
sa,ሳ
sy,ሴ
se,ስ
so,ሶ
sW,ሷ
S,ሸ
Su,ሹ
Si,ሺ
Sa,ሻ
Sy,ሼ
Se,ሽ
So,ሾ
SW,ሿ
q,ቀ
qu,ቁ
qi,ቂ
qa,ቃ
qy,ቄ
qe,ቅ
qo,ቆ
qW,ቋ
b,በ
bu,ቡ
bi,ቢ
ba,ባ
by,ቤ
be,ብ
bo,ቦ
bW,ቧ
t,ተ
tu,ቱ
ti,ቲ
ta,ታ
ty,ቴ
te,ት
to,ቶ
tW,ቷ
c,ቸ
cu,ቹ
ci,ቺ
ca,ቻ
cy,ቼ
ce,ች
co,ቾ
cW,ቿ
h[,ኀ
h[u,ኁ
h[i,ኂ
h[a,ኃ
h[y,ኄ
h[e,ኅ
h[o,ሖ
h[W,ኋ
n,ነ
nu,ኑ
ni,ኒ
na,ና
ny,ኔ
ne,ን
no,ኖ
nW,ኗ
N,ኘ
Nu,ኙ
Ni,ኚ
Na,ኛ
Ny,ኜ
Ne,ኝ
No,ኞ
NW,ኟ
x,አ
xu,ኡ
xi,ኢ
xa,ኣ
xy,ኤ
xe,እ
xo,ኦ
k,ከ
ku,ኩ
ki,ኪ
ka,ካ
ky,ኬ
ke,ክ
ko,ኮ
kW,ኳ
w,ወ
wu,ዉ
wi,ዊ
wa,ዋ
wy,ዌ
we,ው
wo,ዎ
X,ዐ
Xu,ዑ
Xi,ዒ
Xa,ዓ
Xy,ዔ
Xe,ዕ
Xo,ዖ
z,ዘ
zu,ዙ
zi,ዚ
za,ዛ
zy,ዜ
ze,ዝ
zo,ዞ
zW,ዟ
Z,ዠ
Zu,ዡ
Zi,ዢ
Za,ዣ
Zy,ዤ
Ze,ዥ
Zo,ዦ
ZW,ዧ
Y,የ
Yu,ዩ
Yi,ዪ
Ya,ያ
Yy,ዬ
Ye,ይ
Yo,ዮ
D,ዸ
Du,ዹ
Di,ዺ
Da,ዻ
Dy,ዼ
De,ዽ
Do,ዾ
DW,ዿ
d,ደ
du,ዱ
di,ዲ
da,ዳ
dy,ዴ
de,ድ
do,ዶ
dW,ዷ
j,ጀ
ju,ጁ
ji,ጂ
ja,ጃ
jy,ጄ
je,ጅ
jo,ጆ
jW,ጇ
g,ገ
gu,ጉ
gi,ጊ
ga,ጋ
gy,ጌ
ge,ግ
go,ጎ
gW,ጓ
T,ጠ
Tu,ጡ
Ti,ጢ
Ta,ጣ
Ty,ጤ
Te,ጥ
To,ጦ
TW,ጧ
C,ጨ
Cu,ጩ
Ci,ጪ
Ca,ጫ
Cy,ጬ
Ce,ጭ
Co,ጮ
CW,ጯ
P,ጰ
Pu,ጱ
Pi,ጲ
Pa,ጳ
Py,ጴ
Pe,ጵ
Po,ጶ
PW,ጷ
t[,ጸ
t[u,ጹ
t[i,ጺ
t[a,ጻ
t[y,ጼ
t[e,ጽ
t[o,ጾ
t[W,ጿ
T[,ፀ
T[u,ፁ
T[i,ፂ
T[a,ፃ
T[y,ፄ
T[e,ፅ
T[o,ፆ
T[W,ፇ
f,ፈ
fu,ፉ
fi,ፊ
fa,ፋ
fy,ፌ
fe,ፍ
fo,ፎ
fW,ፏ
p,ፐ
pu,ፑ
pi,ፒ
pa,ፓ
py,ፔ
pe,ፕ
po,ፖ
pW,ፗ
a,አ
u,ኡ
i,ኢ
a,ኣ
e,እ
o,ኦ
U,ዑ
I,ዒ
A,ዓ
E,ዕ
O,ዖ
EE,ኧ
1,፩
2,፪
3,፫
4,፬
5,፭
6,፮
7,፯
8,፰
9,፱
10,፲
20,፳
30,፴
40,፵
50,፶
60,፷
70,፸
80,፹
90,፺
100,፻
1-,፼	
