h,ሀ
hu,ሁ
hi,ሂ
ha,ሃ
hy,ሄ
he,ህ
ho,ሆ
hW,ኋ
l,ለ
lu,ሉ
li,ሊ
la,ላ
ly,ሌ
le,ል
lo,ሎ
lW,ሏ
H,ሐ
Hu,ሑ
Hi,ሒ
Ha,ሓ
Hy,ሔ
He,ሕ
Ho,ሖ
m,መ
mu,ሙ
mi,ሚ
ma,ማ
my,ሜ
me,ም
mo,ሞ
mW,ሟ
s[,ሠ
s[u,ሡ
s[i,ሢ
s[a,ሣ
s[y,ሤ
s[e,ሥ
s[o,ሦ
s[W,ሧ
r,ረ
ru,ሩ
ri,ሪ
ra,ራ
ry,ሬ
re,ር
ro,ሮ
rW,ሯ
s,ሰ
su,ሱ
si,ሲ
sa,ሳ
sy,ሴ
se,ስ
so,ሶ
sW,ሷ
q,ቀ
qu,ቁ
qi,ቂ
qa,ቃ
qy,ቄ
qe,ቅ
qo,ቆ
qW,ቋ
b,በ
bu,ቡ
bi,ቢ
ba,ባ
by,ቤ
be,ብ
bo,ቦ

t,ተ
tu,ቱ
ti,ቲ
ta,ታ
ty,ቴ
te,ት
to,ቶ
h[,ኀ
h[u,ኁ
h[i,ኂ
h[a,ኃ
h[y,ኄ
h[e,ኅ
h[o,ሖ
h[W,ኋ
n,ነ
nu,ኑ
ni,ኒ
na,ና
ny,ኔ
ne,ን
no,ኖ
N,ኘ
Nu,ኙ
Ni,ኚ
Na,ኛ
Ny,ኜ
Ne,ኝ
No,ኞ
NW,ኟ
x,አ
xu,ኡ
xi,ኢ
xa,ኣ
xy,ኤ
xe,እ
xo,ኦ
k,ከ
ku,ኩ
ki,ኪ
ka,ካ
ky,ኬ
ke,ክ
ko,ኮ
kW,ኳ
w,ወ
wu,ዉ
wi,ዊ
wa,ዋ
wy,ዌ
we,ው
wo,ዎ
X,ዐ
Xu,ዑ
Xi,ዒ
Xa,ዓ
Xy,ዔ
Xe,ዕ
Xo,ዖ
z,ዘ
zu,ዙ
zi,ዚ
za,ዛ
zy,ዜ
ze,ዝ
zo,ዞ
Y,የ
Yu,ዩ
Yi,ዪ
Ya,ያ
Yy,ዬ
Ye,ይ
Yo,ዮ
D,ዸ
Du,ዹ
Di,ዺ
Da,ዻ
Dy,ዼ
De,ዽ
Do,ዾ
d,ደ
du,ዱ
di,ዲ
da,ዳ
dy,ዴ
de,ድ
do,ዶ
g,ገ
gu,ጉ
gi,ጊ
ga,ጋ
gy,ጌ
ge,ግ
go,ጎ
gW,ጓ
T,ጠ
Tu,ጡ
Ti,ጢ
Ta,ጣ
Ty,ጤ
Te,ጥ
To,ጦ
P,ጰ
Pu,ጱ
Pi,ጲ
Pa,ጳ
Py,ጴ
Pe,ጵ
Po,ጶ
t[,ጸ
t[u,ጹ
t[i,ጺ
t[a,ጻ
t[y,ጼ
t[e,ጽ
t[o,ጾ
T[,ፀ
T[u,ፁ
T[i,ፂ
T[a,ፃ
T[y,ፄ
T[e,ፅ
T[o,ፆ
f,ፈ
fu,ፉ
fi,ፊ
fa,ፋ
fy,ፌ
fe,ፍ
fo,ፎ
p,ፐ
pu,ፑ
pi,ፒ
pa,ፓ
py,ፔ
pe,ፕ
po,ፖ
a,አ
u,ኡ
i,ኢ
a,ኣ
e,እ
o,ኦ
U,ዑ
I,ዒ
A,ዓ
E,ዕ
O,ዖ
